"S.N.","Code","Abbr","Name","City","Mount Type","Capacity (kWp)","Day Generation (kWh)","Day Yield (kWh/kWp)","Day Est. Irradiation (kWh/m²)","Performance Ratio (%)"
"167","19008","TMSN(135)","TMS Noida (Sec 135)","Noida","rooftop","149.5","...","...","...","..."
"168","19009","TMSP","TMS Panipat","Panipat","rooftop","136.5","...","...","...","..."
"169","19010","TMSA","TMS Amritsar","Amritsar","rooftop","109.2","...","...","...","..."
"170","19011","TMSL","TMS Lucknow","Lucknow","rooftop","150.15","...","...","...","..."
"171","19012","TMSI","TMS Indore","Indore","rooftop","90.675","...","...","...","..."
"172","19013","DCSCL","Delhi Cargo","Delhi","rooftop","802.56","...","...","...","..."
"173","19015","IAFA","IAFA Amritsar","Amritsar","rooftop","12.35","...","...","...","..."
"174","19016","BRINTONS","BRINTONS CARPETS","Pune","rooftop","994.84","...","...","...","..."
"175","19017","UFI","UFI FILTERS INDIA PRIVATE LIMITED","Bawal","rooftop","368","...","...","...","..."
"176","19019","Mirza","Mirza","Mirzapur","ground","75008.1","...","...","...","..."
"177","19020","PEPS","Varun Beverages Sangareddy","Hyderabad","rooftop","999.6","...","...","...","..."
"178","19021","PEPK","Pepsico Kolkata","HOWRAH - Kolkata","rooftop","826.8","...","...","...","..."
"179","19022","ROCAA","Roca Alwar","Alwar","rooftop","836.4","...","...","...","..."
"180","19023","ROCA","ROCA Bhiwadi","Bhiwani","rooftop","398.8","...","...","...","..."
"181","19024","IIT","IIT Jammu - Phase -1","Jammu","rooftop","164.16","...","...","...","..."
"182","19025","IITJ2","IIT Jammu - Phase -2","Jammu","rooftop","327.28","...","...","...","..."
"183","19026","LAPP","LAPP CABLES","Bhopal","ground","993.6","...","...","...","..."
"184","19027","PEPZ","PEPSICO ZAHURA PUNJAB","Zahura","rooftop","594.32","...","...","...","..."
"185","19028","Big Basket","Big Basket Warehouse Gurgaon","Gurgaon","rooftop","299.88","...","...","...","..."
"186","19030","RAILR","Railway Raipur","Raipur","rooftop","1000.96","...","...","...","..."
"187","19031","Oxford","Oxford College of Engineering","Bangalore","rooftop","202.48","...","...","...","..."
"188","19032","MEO","Mahesh Edible Oil","KOTA","rooftop","949","...","...","...","..."
"189","19034","SLMBK","Schlumberger - Kakinada","KAKINADA","rooftop","434.7","...","...","...","..."
"190","19036","SLMB","Schlumberger Mahape","Mumbai","rooftop","387.6","...","...","...","..."
"191","19037","BHARTI","Bharti Realty","Gurgaon","rooftop","173.12","...","...","...","..."
"192","19041","ACCJ","ACC Jamul","Bhilai","ground","5327.5","...","...","...","..."
"193","19042","ACCR","Ambuja Cements Rabriyawas","Rabriyawas","ground","7148.25","...","...","...","..."
