"S.N.","Code","Abbr","Name","City","Mount Type","Capacity (kWp)","Day Generation (kWh)","Day Yield (kWh/kWp)","Day Est. Irradiation (kWh/m²)","Performance Ratio (%)"
"372","21061","IIPT","Insecticide India Pvt Ltd","Bhiwadi","rooftop","160.2","...","...","...","..."
"373","21062","ABBN1","ABB Nashik-1 Phase-2","Nashik","rooftop","340","...","...","...","..."
"374","21064","HASI","Hanon Automotive","Chennai","rooftop","532.58","...","...","...","..."
"375","21065","AUE","Ashoka University Extension","Sonipat","rooftop","121.45","...","...","...","..."
"376","21066","NTR","Netravati","Tumkur","ground","71467","...","...","...","..."
"377","21067","KVR","Kauveri","Tumkur","ground","71207","...","...","...","..."
"378","21073","POM","Plastic Omnium","Pune","rooftop","1350.05","...","...","...","..."
"379","21074","BUL","Beri Udyog Limited","Karnal","rooftop","451.67","...","...","...","..."
"380","21076","ASI MIDC","Atos Syntel International Private Limited MIDC RCC","Pimpri Chinchwad","rooftop","1120.5","...","...","...","..."
"381","21077","IFBM","IFB Industries Ltd -Mallur","Mallur","rooftop","1284.27","...","...","...","..."
"382","21078","SIG","Supreme Industries Unit 3 Gadegaon","Gadegaon","rooftop","4139.36","...","...","...","..."
"383","21079","SIT","Supreme Industries Ltd Telangana","Jadcherla","rooftop","998.3","...","...","...","..."
"384","21080","SIEL-P(N)","Samsung India Electronics B-1 Noida","Noida","rooftop","843.75","...","...","...","..."
"385","21081","UTCL Tadipatri","UTCL Tadipatri","Tadipatri","ground","12500","...","...","...","..."
"386","21082","UTCLD","UltraTech Cement Dankuni","Hooghly","ground","1406.2","...","...","...","..."
"387","21083","UTCL SB","UTCL Sonar Bangla Cement Works","Murshidabad","ground","1406.2","...","...","...","..."
"388","21084","BK","Bigbasket Kuthambakkam","Kuthambakkam","rooftop","258.39","...","...","...","..."
"389","21085","GE T&D","GE T&D India Limited","Kanchipuram","rooftop","700.82","...","...","...","..."
"390","21087","A BLR 7","Amazon BLR 7","Banglore","rooftop","202","...","...","...","..."
"391","21088","GPID","Gulf Processing Industries LLC","Dubai","rooftop","849.42","...","...","...","..."
"392","21089","NGSD","Next Generation School LLC Dubai","Dubai","rooftop","1286","...","...","...","..."
"393","21090","HYVA","Hyva India Pvt Ltd","Navi Mumbai","rooftop","333.75","...","...","...","..."
"394","21092","HTLK","HTL ISPAT Private Limited Khopoli","Raigad","rooftop","600.75","...","...","...","..."
"395","21093","SILE 2","Siegwerk India Pvt Ltd Ext Phase 2","Alwar","rooftop","270.54","...","...","...","..."
"396","21094","GPM","Godrej One Premises Management","Mumbai","rooftop","66.75","...","...","...","..."
"397","21095","CLP 9","Cipla Limited Plot 9","Dhar","rooftop","2372.93","...","...","...","..."
"398","21096","CLP-10","Cipla Limited Plot 10","Dhar","rooftop","753.735","...","...","...","..."
"399","21098","FEF","Flovel Energy Pvt Ltd","Mitrol","rooftop","202.34","...","...","...","..."
"400","21100","ETL","Endurance Technologies Limited Kolar","Karinayakanahalli","rooftop","397.83","...","...","...","..."
"401","21101","CSCI","Cardolite Specialty Chemicals India LLP","Mangaluru","rooftop","717.3","...","...","...","..."
"402","21102","AP","Ashirvad Pipes","Bangalore","rooftop","304.56","...","...","...","..."
"403","21106","JMI","Johnson Matthey India Bawal","Bawal","rooftop","232.29","...","...","...","..."
"404","21107","ASSPL","AMAZON SELLER SERVICES PVT LTD MAA8","Siruvapuri","rooftop","686.25","...","...","...","..."
"405","21108","AB","AstraZeneca Bengaluru","Bengaluru","rooftop","588","...","...","...","..."
"406","21109","ATS MAAD","Amazon Transportation Services MAAD","Chennai","rooftop","513","...","...","...","..."
"407","21110","DMAV","D-Mart Benz circle, Vijayawada","Vijaywada","rooftop","160.2","...","...","...","..."
"408","21111","JDE","Jalpa Devi Engineering Pvt Ltd","Dhar","rooftop","707.4","...","...","...","..."
"409","21112","BFI","Bhavya Infra Indore","Dhar","rooftop","66.6","...","...","...","..."
"410","21113","DSS","Deevin Seismic Systems Pvt Ltd","Mandideep","rooftop","415.35","...","...","...","..."
"411","21114","DBL B","Dilip Buildcon Ltd, Byrapur, Karnataka","Chitradurga","rooftop","98.28","...","...","...","..."
"412","21115","DBLSP1","DBL Sangli PKG-1","BORGAON","rooftop","70.2","...","...","...","..."
"413","21116","DBS","Dilip Buildcon Ltd PKG 2 Sangli","Solapur","rooftop","70.2","...","...","...","..."
"414","21117","DBS","Dilip Buildcon Ltd PKG 4 Sangli","Solapur","rooftop","70.2","...","...","...","..."
"415","21118","DBN","Dilip Buildcon Ltd Nizamabad","Mangloor","rooftop","59.85","...","...","...","..."
"416","21119","DBA","Dilip Buildcon Ltd Anakapalli 1","Anakapalli","rooftop","64.97","...","...","...","..."
"417","21120","DBA","Dilip Buildcon Ltd Anakapalli 3 AP","Anakapalli","rooftop","64.97","...","...","...","..."
"418","21122","ATS","Amazon Transportation Services Pvt Ltd","Jaipur","rooftop","504","...","...","...","..."
"419","21124","JKCL","JK Cement Limited Muddapur","Bhagalkot","ground","5002.2","...","...","...","..."
"420","21125","ALK01","Amazon LK01","Lucknow","rooftop","999.915","...","...","...","..."
"421","21126","ACJB","Amazon CJB","Coimbatore","rooftop","1200","...","...","...","..."
"422","21127","FMC","Forbes Marshall Chakan","Pune","rooftop","1048.05","...","...","...","..."
"423","22001","MCI 2","Morganite Crucible India Ltd Phase 2","Aurangabad","rooftop","188.235","...","...","...","..."
"424","22002","DIA","Dabur India Alwar","Alwar","rooftop","357.84","...","...","...","..."
"425","22003","AHYDX","Amazon Transport Services Pvt Ltd HYDX","Hyderabad","rooftop","534","...","...","...","..."
"426","22004","ASB","Avenue Supermart Ayodhya Bypass Bhopal","Bhopal","rooftop","315.9","...","...","...","..."
"427","22005","DMAI","D-Mart Kanadia, Indore","Indore","rooftop","149.04","...","...","...","..."
"428","22006","ASR","Avenue Supermarts Raipur","Raipur","rooftop","420.12","...","...","...","..."
"429","22007","JKCLN","JKCL Nimbhahera Chittorgarh","Chittorgarh","ground","7006","...","...","...","..."
"430","22008","WP 3","Whirlpool Phase 3","Pune","rooftop","841.05","...","...","...","..."
"431","22009","HA 2","Hanon Automative Phase 2","Chennai","rooftop","741.15","...","...","...","..."
"432","22010","BIP","Bobst India Pvt Ltd Pune","Pune","rooftop","250","...","...","...","..."
"433","22011","SIL","Syngene International Limited","Mangalore","rooftop","479.1","...","...","...","..."
"434","22017","PT","Precise Trading","Dubai","rooftop","160.23","...","...","...","..."
"435","22019","ASB","Avenue Supermarts Beltarodi Nagpur","Nagpur","rooftop","195.48","...","...","...","..."
"436","22020","AS","Avenue Supermart Nashik","Nashik","rooftop","270","...","...","...","..."
"437","22021","ASIPL","Atos Syntel International Private Limited","Chinchwad","rooftop","503.1","...","...","...","..."
"438","22022","HS EXT","Huhtamaki Silvassa EXT","Umerkoi","rooftop","550.465","...","...","...","..."
"439","22024","DBLR","Decathlon Bannerghatta BLR","Kalena Agrah","rooftop","90","...","...","...","..."
"440","22026","EWSA","East West Seeds India Pvt Ltd Aurangabad","Aurangabad","rooftop","395.1","...","...","...","..."
"441","22027","UTCL VC","UTCL Vikram Cement Neemuch","Neemuch","ground","8905.68","...","...","...","..."
"442","22029","GOE","Gulf Oil Middle East","Dubai","rooftop","477","...","...","...","..."
"443","22032","UTCLB","Ultratech Cement Limited Bhatinda","Bhatinda","ground","477.36","...","...","...","..."
"444","22033","ASA","Aastrid Lifesciences Pvt Ltd Amshet","Raigad","rooftop","180","...","...","...","..."
"445","22034","G WEK","GEMS WEK","Dubai","rooftop","984.27","...","...","...","..."
"446","22035","G JPS","GEMS JPS","Dubai","rooftop","546.07","...","...","...","..."
"447","22036","GJ","GEMS JCD","Dubai","rooftop","435.45","...","...","...","..."
"448","22037","MIL(SD)","Minda Industries Limited (Switch Division)","Pantnagar","rooftop","393.66","...","...","...","..."
"449","22038","MSBP","Minda Storage Batteries Pvt Ltd Pantnagar","Pantnagar","rooftop","484.2","...","...","...","..."
"450","22039","FIP","Fukoku India Pvt Ltd Pune","Pune","rooftop","279.9","...","...","...","..."
"451","22040","ASL","Avenue Supermart Ltd Pathankot Rd. (Jalandhar)","Jalandhar","rooftop","310.5","...","...","...","..."
"452","22041","ASK","Avenue Supermarts Ltd Kalwar","Jaipur","rooftop","99.9","...","...","...","..."
"453","22042","ASS","Avenue Supermarts Limited Safilguda","Secunderabad","rooftop","245.25","...","...","...","..."
"454","22044","ASLK","Avenue Supermarts Ltd, Kattupakkam, TN","Kanchipuram","rooftop","99.9","...","...","...","..."
"455","22045","ASC","Avenue supermart chinniyampalayam","CHINNAMPALAYAM","rooftop","99.9","...","...","...","..."
"456","22046","DTI","Dixon Technologies India Ltd","Govindavaram","rooftop","994.5","...","...","...","..."
"457","22047","DIG","Diageo India Pvt Ltd Goa","Goa","ground","398","...","...","...","..."
"458","22048","CNHI","CNHI Pithampur","Indore","rooftop","497.7","...","...","...","..."
"459","22049","SL","Snowman Logistics","Siliguri","rooftop","250.2","...","...","...","..."
"460","22050","AST","Avenue Supermarts Tadepalli","Tadepalli","rooftop","101.7","...","...","...","..."
"461","22053","STG","Syntegon Technology Goa","Goa","rooftop","311.04","...","...","...","..."
"462","22054","VI","Venky's India Ltd Nanded","Nanded","rooftop","937.8","...","...","...","..."
"463","22055","VS","Venky's Shrirampur","Shrirampur","rooftop","734.4","...","...","...","..."
"464","22056","ATS BLT3","Amazon Transportation Services Pvt Ltd BLT3","Hobli","rooftop","90","...","...","...","..."
"465","22057","CAS","Campus Activewear Sonipat","Sonipat","rooftop","999","...","...","...","..."
"466","22058","IFB G","IFB Industries Ltd AC Plant Goa","Verna","rooftop","1249.65","...","...","...","..."
"467","22059","GK","GEMS KGS","Dubai","rooftop","518.84","...","...","...","..."
"468","22060","UTCLN","UTCL Nathdwara","Nathdwara","ground","7469.28","...","...","...","..."
"469","22061","UTCL","UTCL Aditya Cement","Chittorgarh","ground","11188","...","...","...","..."
"470","22062","ATS BLT4","Amazon Transportation Services Pvt Ltd BLT4","Hubli","rooftop","70.2","...","...","...","..."
"471","22063","A BLRA","Amazon BLRA","Banglore","rooftop","36","...","...","...","..."
"472","22064","AELR","Aurangabad Electricals Ltd Rudrapur","Rudrapur","rooftop","604.35","...","...","...","..."
"473","22065","JLP","Jyothy Labs Pithampur","Dhar","rooftop","495","...","...","...","..."
"474","22066","SSS","Sarvan Shipping Services Pvt Ltd Cold Storage","Ankhapalli Madal","rooftop","180","...","...","...","..."
"475","22067","SSS 1","Sarvan Shipping Services Ltd CFS 1","Vishakhapatnam","rooftop","157.5","...","...","...","..."
"476","22068","SSCFS","Sravan Shipping Pvt Ltd CFS 2","Visakhapatnam","rooftop","59.8","...","...","...","..."
"477","22069","DTI","Dixon Technologies India Ltd","Dehradun","rooftop","400.95","...","...","...","..."
"478","22070","DXT","Dixon Technologies","Dehradun","rooftop","180","...","...","...","..."
"479","22072","JKCL M","JKCL Mangrol","Mangrol","ground","6925","...","...","...","..."
"480","22074","ALFE","AL Futtaim Element Dubai","Dubai","rooftop","265.96","...","...","...","..."
"481","22075","KJP","Kingspan Jindal Pvt Ltd Pithampur","Pithampur","rooftop","191.7","...","...","...","..."
"482","22077","USLA","UNITED SPIRITS LTD, ALWAR","Alwar","rooftop","406.35","...","...","...","..."
"483","22079","RPA","Ring Plus Aqua Ltd Sinnar","Nashik","ground","288","...","...","...","..."
"484","22080","AIP","Automech India Pvt Ltd Plant 2 Pune","Pune","rooftop","549","...","...","...","..."
"485","22082","PM","Pushpagiri Medicity","Thiruvalla","rooftop","105.2","...","...","...","..."
"486","22083","SS 4","Silvar Spark Unit 4","Bangalore","rooftop","400.5","...","...","...","..."
"487","22084","SSU","Silvar Spark U1","Bangalore","rooftop","329.3","...","...","...","..."
"488","22085","SSU-2","Silvar spark unit -02","BANGALORE","rooftop","186.9","...","...","...","..."
"489","22086","KTE P-2","Kinetic Taigene Electrical Co. Pvt Ltd, Pune - 2","Pune","rooftop","133.2","...","...","...","..."
"490","22087","KEM Ext","Kinetic Electric Motor Co. Pvt Ltd, Pune-Ext.","Pune","rooftop","54.9","...","...","...","..."
"491","22088","KFP","KF Bio Plants Pune","Pune","rooftop","1470.15","...","...","...","..."
"492","22089","USB","United spirits Baramati","PIMPALI","rooftop","556.6","...","...","...","..."
"493","22092","ADMP","Avenue Supermart  D MART Pithampur","Pithampur","rooftop","201.15","...","...","...","..."
"494","22093","AS RCPT","Avenue Supermart Ltd RC Puram Telangana","Ramachandrapuram","rooftop","128.7","...","...","...","..."
"495","22094","AST","Avenue Supermart Erode Tamilnadu","Erode","rooftop","94.95","...","...","...","..."
"496","22096","ASA","Avenue Supermart Ltd Alwar","Alwar","rooftop","236.7","...","...","...","..."
"497","22097","EFDB","EFD Induction Bengaluru","Bengaluru","rooftop","132","...","...","...","..."
"498","22098","LIB","Lumax Industries Limited Bawal","Bawal","rooftop","499.5","...","...","...","..."
"499","22099","LATP","Lumax Auto Technologies Ltd Pune","Pune","rooftop","559.8","...","...","...","..."
"500","22100","MAN","Mahle Ananad Noida","Greater Noida","rooftop","741.6","...","...","...","..."
"501","22101","BM","Borgwarner Manesar","Gurgoan","rooftop","341.1","...","...","...","..."
"502","22102","UTCLK","UTCL Kotputli","Jaipur","ground","9145","...","...","...","..."
"503","22103","UTCLH","UTCL Hirmi","Kuthraud","ground","8143","...","...","...","..."
"504","22104","ETL V TN","Endurance Technologies Limited, Vallam, TN","Kanchipuram","rooftop","621","...","...","...","..."
"505","22106","FIL P","Foseco India Ltd, Pune","Pune","rooftop","564.75","...","...","...","..."
"506","22107","KPK","Kanpur Plastipacks Pvt ltd Kanpur","Kanpur","rooftop","2754","...","...","...","..."
"507","22108","DOZCO","DOZCO India Pvt Ltd Visakhapatnam","Visakhapatnam","rooftop","981","...","...","...","..."
"508","22112","AS","Avenue Supermarts Ltd Ulhasnagar","Ulhasnagar","rooftop","143.1","...","...","...","..."
"509","22113","ASLU C","Avenue Supermarts Ltd, Ulhasnagar (Carport)","Thane","rooftop","140.4","...","...","...","..."
"510","22114","ASK(DMART)","Avenue Supermart Kuntikan","Mangaluru","rooftop","137.7","...","...","...","..."
"511","22115","ASMD","Avenue Super marts Doddaballapur","Boddaballapur","rooftop","151.2","...","...","...","..."
"512","22116","ASB","Avenue Supermarts Ltd Banashankari","Bengaluru","rooftop","157.68","...","...","...","..."
"513","22117","ASB","AVENUE SUPERMART LTD.RC BANDLAGUDA","Hyderabad","rooftop","43.2","...","...","...","..."
"514","22118","DMART K","Avenue Supermarts DMART Koramangala","Bengaluru","rooftop","62.64","...","...","...","..."
"515","22120","ZHLS U2","Zydus Healthcare Limited, Sikkim - Unit II","East Sikkim","rooftop","321.1","...","...","...","..."
"516","22121","MKB","Minda Kosei Bawal","Bawal","rooftop","487.62","...","...","...","..."
"517","22123","JS","Joseph Steel","Dubai","rooftop","527.56","...","...","...","..."
"518","22125","BWC","BorgWarner Cooling Systems India Pvt Ltd, Chennai","Kancheepuram","rooftop","337.5","...","...","...","..."
"519","22126","GPCG","Govt. Polytechnic College Gandhinagar","Gandhinagar","rooftop","166.2","...","...","...","..."
"520","22127","ACCT1","Amazon CCT1","Kolkata","rooftop","90","...","...","...","..."
"521","22128","KCL-T","Kokuyo Camlin Ltd, Thane","Thane","rooftop","501.22","...","...","...","..."
"522","22129","PIHPL-K","Pepsico India Holdings Pvt Ltd., Kosi","Mathura","rooftop","1413","...","...","...","..."
"523","22130","EI-T","Ecovinal International Pvt Ltd, Tumkur","Tumkur","rooftop","420","...","...","...","..."
"524","22132","WFML B","Wellness Forever Medicare Limited, Bhiwandi","Thane","rooftop","450.17","...","...","...","..."
"525","22133","SMC 1,2,3","SNOWMAN CHENNAI 1,2,3","Chennai","rooftop","202.2","...","...","...","..."
"526","22134","SLC4","Snowman Logistics Ltd, Chennai 4","Kanchipuram","rooftop","100.28","...","...","...","..."
"527","22135","SLC5","Snowman Logistics Ltd, Chennai 5","Kanchipuram","rooftop","250.02","...","...","...","..."
"528","22136","SL C","Snowman Logistics Ltd, Coimbatore","Coimbatore","rooftop","199.8","...","...","...","..."
"529","22137","USL","United Spirits Ltd","Bengaluru","ground","302.4","...","...","...","..."
"530","22138","JLEUP","Jyothy Labs Ltd, Pondicherry (EXO Unit)","Pondicherry","rooftop","546.3","...","...","...","..."
"531","22140","JLUUP","Jyothy Labs Ujala Unit, Puducherry","Pondicherry","rooftop","172.35","...","...","...","..."
"532","22142","SEI PL C","Schneider Electric India Pvt Ltd, Coimbatore","Coimbatore","rooftop","401","...","...","...","..."
"533","22143","SEI PL A","Schneider Electric India Pvt Ltd, Ahmednagar","Ahmed Nagar","rooftop","1802.86","...","...","...","..."
"534","22144","ZHLS U1","Zydus Healthcare Ltd, Unit-I, Sikkim","East Sikkim","rooftop","453.6","...","...","...","..."
"535","22145","SFLN","Sheela Foam Ltd, Greater Noida","Gautam Buddha Nagar","rooftop","317.09","...","...","...","..."
"536","22146","SFL P E","Sheela Foam Ltd, Perundurai, Erode","Erode","rooftop","270.35","...","...","...","..."
"537","22147","SFL S HP","Sheela Foam Ltd, Sirmour, HP","Sirmour","rooftop","173.31","...","...","...","..."
"538","22148","SFL M","Sheela Foam Ltd, Medchal","Hyderabad","rooftop","269.775","...","...","...","..."
"539","22149","SFL J EB","Sheela Foam Ltd, Jalpaiguri, WB","Jalpaiguri","rooftop","91.56","...","...","...","..."
"540","22150","HCSIPLB","Hanon Climate Systems India Pvt Ltd, Bhiwadi","Alwar","rooftop","505.05","...","...","...","..."
"541","22151","HCCBPL","HINDUSTAN COCA-COLA BEVERAGES PVT LTD, GOA","South Goa","rooftop","499.5","...","...","...","..."
"542","22152","HCCB PL V","Hindustan Coca-Cola Beverages Pvt Ltd, Vijayawada","Guntur","rooftop","999","...","...","...","..."
"543","22153","ACCB T","Hindustan Coca-Cola Beverages Pvt Ltd, Tiruvallur","Tiruvallur","rooftop","495","...","...","...","..."
"544","22154","PIH, C, PB","Pepsico India Holdings Pvt Ltd, Channo, PB","Sangrur","rooftop","104.4","...","...","...","..."
"545","23001","MKL - B","Minda Kyoraku Ltd, Bangalore","Ramanagar","rooftop","545.94","...","...","...","..."
"546","23002","AS","Avenue Supermarts Ltd, Suryabagh","Visakhapatnam","rooftop","219.09","...","...","...","..."
"547","23003","ZLL G","Zydus Lifesciences Ltd, Goa","NORTH GOA","rooftop","1298.7","...","...","...","..."
"548","23004","MFPPL P","Megha Fruit Processing Pvt Ltd, Puttur","Dakshina Kannada","rooftop","720.49","...","...","...","..."
"549","23006","MMB17","MetalMan B17","Aurangabad","rooftop","297","...","...","...","..."
"550","23007","SCM","Suryalakshmi Cotton Mills Ltd","Hyderabad","rooftop","450","...","...","...","..."
"551","23008","GI","Gemscab Industries","Pathredi","rooftop","704","...","...","...","..."
"552","23009","MP","Metalman Pithampur","Pithampur","rooftop","306","...","...","...","..."
"553","23010","MM B30/31","MetalMan B30/31","Aurangabad","rooftop","205","...","...","...","..."
"554","23011","NIP","National Industries Punjab","Ludhiana","rooftop","110.8","...","...","...","..."
"555","23012","CIP","Campbell International Punjab","Ludhiana","rooftop","169","...","...","...","..."
"556","23013","MMT","Metalman Micro Turners","Dharuhera","rooftop","656","...","...","...","..."
"557","23014","ICTPL","International Cargo Terminal Ltd Mumbai","Mumbai","rooftop","475","...","...","...","..."
"558","23015","RPL","Rhine Power Pvt Ltd","Bahadurgarh","rooftop","462","...","...","...","..."
"559","23016","F A4","Flash A4","Pune","rooftop","475.2","...","...","...","..."
"560","23017","FF A22","Flash Forge A22","Pune","rooftop","513.5","...","...","...","..."
"561","23018","FV","Flash Viven","Pune","rooftop","546","...","...","...","..."
"562","23019","MICT Uran","International Cargo Terminal And Infrastructure Pvt Ltd","Mumbai","rooftop","495","...","...","...","..."
"563","23020","DICT","International Cargo Terminal And Rail Infrastructure Pvt Ltd","Sonipat","rooftop","517.11","...","...","...","..."
"564","23021","BS","Boxeco Sonipat","Sonipat","rooftop","444.8","...","...","...","..."
"565","23022","Vivekananda University","Vivekananda Vidyavardhaka Sangha Puttur","Mangalore","rooftop","498.96","...","...","...","..."
"566","23023","LILB P195","Lumax Industries Ltd, Bawal (Plot 195)","Rewari","rooftop","300.6","...","...","...","..."
"567","23024","LAT - P","Lumax Auto Technologies Ltd, Pantnagar","Udham Singh Nagar","rooftop","388.8","...","...","...","..."
"568","23025","HB FIA - S","H.B. Fuller India Adhesives Pvt Ltd, Shriwal","Satara","rooftop","838.08","...","...","...","..."
"569","23026","MCL SSD-P","Minda Corporation Ltd, SSD(EME), Pune","Pune","rooftop","185.03","...","...","...","..."
"570","23027","V-GIL C","V-Guard Industries Ltd, Coimbatore, TN","Coimbatore","rooftop","1482.39","...","...","...","..."
"571","23028","V-GIL P","V-Guard Industries Ltd, Perundurai, TN","Erode","rooftop","199.36","...","...","...","..."
"572","23029","V-GIL R","V-Guard Industries Ltd, Roorkee, UK","Roorkee","rooftop","474.75","...","...","...","..."
"573","23030","ACP PL P","Autocomp Corporation Panse Pvt Ltd, Pune","Pune","rooftop","747.95","...","...","...","..."
"574","23031","UTCL-Bela","Ultratech Cement Ltd, Bela Cement","Rewa","ground","6017","...","...","...","..."
"575","23032","V-Gaurd IL K","V-Guard Industries Ltd, Kashipur, UK","Kashipur","rooftop","344.25","...","...","...","..."
"576","23033","ILIPL P","Idemitsu Lube India Pvt Ltd, Patalganga","Raigarh(MH)","rooftop","210.15","...","...","...","..."
"577","23035","ASL T","Avenue Supermarts Ltd, Tuticorn","Tuticorin","rooftop","100.28","...","...","...","..."
"578","23039","SLPL V","Synthokem Labs Pvt Ltd, Vizag","Vizag","rooftop","276.86","...","...","...","..."
"579","23040","ASL K","Avenue Supermarts Ltd, Komarapalayam","Namakkal","rooftop","99.9","...","...","...","..."
"580","23041","RLJ","Raymond Limited, Jalgaon","Jalgaon","rooftop","1000.08","...","...","...","..."
"581","23042","SDD PL GM","Schreiber Dynamix Dairies Pvt Ltd-GM","Pune","rooftop","4294.08","...","...","...","..."
"582","23043","UTCL Dalla","Ultratech Cement Ltd, Dalla Cement Works","Sonbhadra","ground","7550","...","...","...","..."
"583","23046","ASM D(Elevated)","Avenue Supermart Ltd, Dhule (Elevated)","Dhule","rooftop","177.125","...","...","...","..."
"584","23047","ASL D carport","Avenue Supermart Ltd, Dhule (Carport)","Dhule","rooftop","103.55","...","...","...","..."
"585","23048","ASL J","Avenue Supermart Ltd, Jule (Solapur 1)","Solapur","rooftop","112.5","...","...","...","..."
"586","23049","ASL BP","Avenue Supermart Ltd, Bhavani Peth (Solapur 2)","Solapur","rooftop","92.7","...","...","...","..."
"587","23050","VAI P","Voss Automotive India Pvt Ltd, Pirangut","Pune","rooftop","427.68","...","...","...","..."
"588","23052","PHPL P","Poclain Hydraulics Pvt Ltd, Pondicherry","Pondicherry","rooftop","299.16","...","...","...","..."
"589","23053","VHPL C","Vidya Herbs Pvt Ltd, Chikamagalur, KN","Chickmagalur","rooftop","475.2","...","...","...","..."
"590","23059","ASL W (carport)","Avenue Supermart Ltd, Wathoda (Carport)","Nagpur","rooftop","227.88","...","...","...","..."
"591","23063","A HYD 8 Ph-II","Amazon Seller Services Pvt Ltd (HYD-8), Ph-II","Hyderabad","rooftop","842.4","...","...","...","..."
"592","23064","ALK01 -P2","Amazon Seller Services Pvt Ltd, LKO1-Ph-II","Lucknow","rooftop","486","...","...","...","..."
"593","23065","ATS PL MAMA","Amazon Transportation Services Pvt Ltd, MAMA","Ahmedabad","rooftop","516.12","...","...","...","..."
"594","23066","ATSPL M","Amazon Transportation Services Pvt Ltd, MPNA","Pune","rooftop","507.6","...","...","...","..."
"595","23067","ASSPL PNQ3","Amazon Seller Services Pvt Ltd (PNQ3)","Pune","rooftop","1002.8","...","...","...","..."
"596","23069","ASL D MP","Avenue Supermarts Ltd, Dewas, MP","Dewas","rooftop","162","...","...","...","..."
"597","23071","ASL K P-2","Avenue Supermarts Ltd, Kanadia Ph-II","Indore","rooftop","136.08","...","...","...","..."
"598","23072","ASL N V","Avenue Supermarts Ltd, Nunna, Vijaywada","Krishna","rooftop","147.4","...","...","...","..."
"599","23075","MCIL A","Morganite Crucible India Ltd, Aurangabad, Ph-III","Aurangabad","rooftop","248.94","...","...","...","..."
"600","23076","DIL Ghaziabad","Dabur India Ltd, Ghaziabad","Ghaziabad","rooftop","648","...","...","...","..."
"601","23077","ASL G","Avenue Supermarts Ltd, Gulbarga","Gulbarga","rooftop","144.72","...","...","...","..."
"602","23078","ASL C","Avenue Supermarts Ltd, Carmelaram","Bangalore","rooftop","144.7","...","...","...","..."
"603","23079","D T&I","Dhunseri Tea & Industries Ltd (Dhunseri)","UDALGURI","rooftop","404.1","...","...","...","..."
"604","23080","D T&I (Bahipookri)","Dhunseri Tea & Industries Ltd (Bahipookri)","UDALGURI","rooftop","450","...","...","...","..."
"605","23081","D T&L I (Bettybari)","Dhunseri Tea & Industries Ltd (Bettybari)","UDALGURI","rooftop","446.9","...","...","...","..."
"606","23082","D T&I (Orang)","Dhunseri Tea & Industries Ltd (Orang)","UDALGURI","rooftop","369","...","...","...","..."
"607","23084","DTI L","Dixon Technologies India Ltd, Ludhiana","Ludhiana","rooftop","333.3","...","...","...","..."
"608","23087","TMP PL R","Tirumala Milk Products Pvt Ltd, Rangareddy","RANGAREDDY","rooftop","803","...","...","...","..."
"609","23090","GIL Hyd","Granules India Ltd, Hyderabad","Hyderabad","rooftop","461.16","...","...","...","..."
"610","23091","GC C","Greaves Cotton Ltd, Chikhalthana","Aurangabad","rooftop","700","...","...","...","..."
"611","23092","UTCL Arrakonam","Ultratech Cement Ltd, Arrakonam, TN","Vellore","rooftop","1526","...","...","...","..."
"612","23096","BI B&S B","Bauli India Bakes and Sweets Pvt Ltd, Baramati","Pune","rooftop","1341.5","...","...","...","..."
"613","23097","DK","Daimler Kanchipuram","Chennai","ground","1345.68","...","...","...","..."
"614","23100","CMI K","Cameron Manufacturing India Pvt Ltd, Kakinada","East Godavari","rooftop","117.175","...","...","...","..."
"615","23101","ATS M HR","Amazon Transportation Services Pvt Ltd, MDEA, HR","Gurgaon","rooftop","273","...","...","...","..."
"616","23105","PS","Project Shiva","Tuticorin","ground","0","...","...","...","..."
"617","23106","PET W sangareddy","Pinakin Educational Trust, Woxsen Univ, Sangareddy","SANGAREDDY","rooftop","327","...","...","...","..."
"618","23111","MMTC Mewat","MMTC-PAMP India Pvt Ltd, Mewat, HR","Gurgaon","rooftop","705.67","...","...","...","..."
"619","23112","SIE PL (carport)","Samsung India Electronics Pvt Ltd (Carport), Noida","Gautam Buddha Nagar","rooftop","247.43","...","...","...","..."
"620","23114","SML","Shankar Moulding Ltd, Bawal","Bawal","rooftop","389.13","...","...","...","..."
"621","23115","TAVS, Sonitpur","The Assam Valley School, Sonitpur","Sonitpur","rooftop","605","...","...","...","..."
"622","23116","B, C&C Manesar","Bennett, Coleman and Company Ltd (TOI), Manesar","Gurgaon","rooftop","620.46","...","...","...","..."
"623","23117","ASL V TN","Avenue Supermarts Ltd, Vellore, TN","Vellore","rooftop","99","...","...","...","..."
"624","23121","SKH M Shirur","SKH Sheet Metals Components Pvt Ltd, Shirur","Pune","rooftop","1012","...","...","...","..."
"625","23122","FSIPL","Fujifilm Sericol India Pvt Ltd, Plot 10 & 11","Pune","rooftop","51","...","...","...","..."
"626","23123","FSI Plot 47 & 48","Fujifilm Sericol India Pvt Ltd, Plot 47 & 48","Pune","rooftop","218.28","...","...","...","..."
"627","23133","PL","Project Laxmi","Jhansi","ground","0","...","...","...","..."
"628","23135","ASB","Avenue Supermarts Ltd, Bhatinda","Bathinda","rooftop","239.76","...","...","...","..."
